Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G3.18,1,"Life cycles of a frog and butterfly shown. Based on diagrams which statement is correct?","Comparative life cycle diagrams for frog and butterfly (1338x624).",MC,"A) Frogs have shorter life spans, B) Reproduction occurs in frogs but not butterflies, C) Frogs have more offspring, D) Frogs and butterflies each have their own stages of development",D,3,3-LS1-1,3,"Rich visual data showing two different life cycles. Students compare and evaluate statements.",2,"Engages 'Analyzing and Interpreting Data' — comparing two visual diagrams to evaluate claims.",2,"Tests understanding of different developmental pathways. Application level.",2,"Engages Patterns (different organisms show different developmental patterns).",2.25,Low Guided,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good comparative question with visual data. Elevate by asking students to identify shared vs. unique stages."
Alpha Standardized Science G3.18,2,"How are the life cycles of an apple tree and a bush lily similar?",None,MC,"A) Both produce seeds only once, B) Both begin as seeds and produce flowers and fruits, C) Both skip seedling stage, D) Both can only reproduce through humans",B,3,3-LS1-1,1,"No scenario. Pure recall about plant life cycle similarities.",1,"No practice engagement. Recall.",2,"Tests understanding of common plant life cycle features.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide growth data for multiple plants and ask students to compare patterns."
Alpha Standardized Science G3.18,3,"Classify whether observations are inherited or acquired traits: brown eyes, scar, large ears, tattoo.",None,TEI,"Inherited Trait / Acquired Trait sorting for: brown eyes, scar, large ears, tattoo","brown eyes=inherited, scar=acquired, large ears=inherited, tattoo=acquired",3,3-LS3-2,1,"No scenario. Classification task with sorting format.",1,"No practice engagement. Sorting/classification.",2,"Tests understanding of inherited vs. acquired traits.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Tech-enhanced format adds minor engagement but task is recall. Provide family data and ask students to classify with evidence."
Alpha Standardized Science G3.18,4,"Diagram shows a mature plant. Which young plant is most likely an offspring?","Image of mature plant (817x532) and four young plant options.",MC,"A) [Plant A], B) [Plant matching mature plant], C) [Plant C], D) [Plant D]",B,3,3-LS3-1,2,"Visual comparison scenario. Students match offspring to parent based on inherited traits.",2,"Engages 'Analyzing and Interpreting Data' — comparing visual features to identify offspring.",2,"Tests understanding that offspring resemble parents. Application level.",2,"Engages Patterns (offspring traits resemble parent traits).",2.0,Low Guided,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Good visual question. Elevate by providing data from multiple generations showing trait inheritance patterns."
Alpha Standardized Science G3.18,5,"Which trait can children inherit from their parents?",None,MC,"A) nice haircut, B) favorite color, C) two legs, D) broken arm",C,3,3-LS3-1,1,"No scenario. Pure classification recall.",1,"No practice engagement. Recall.",2,"Tests basic understanding of inherited traits.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide family trait data and ask students to identify which traits are inherited from evidence."
Alpha Standardized Science G3.18,6,"A group of wildebeest live together in a herd to increase an individual's ___.",None,MC,"A) chance of survival, B) body temperature, C) ability to find underground plants, D) visibility to other herds",A,3,3-LS2-1,1,"No scenario. Fill-in-the-blank recall. Image of wildebeest present but not required.",1,"No practice engagement. Recall.",2,"Tests basic understanding of group behavior benefit.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide survival data for solo vs. herded wildebeest and ask students to analyze."
Alpha Standardized Science G3.18,7,"A fossil of a fish is found in rock on a mountain. What does this tell us about the past?",None,MC,"A) A bear ate the fish, B) The area was once covered by water, C) The fish could fly, D) Wind blew the fish remains",B,3,3-LS4-1,2,"Brief fossil scenario. Students reason about past environments from evidence.",2,"Engages 'Constructing Explanations from Evidence' — reasoning from fossil location to past environment.",2,"Tests understanding that fossils indicate past environments.",2,"Engages Stability and Change (environment changed from water to mountain).",2.0,Low Guided,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Good reasoning question. Add more fossil details and ask for a more detailed explanation."
Alpha Standardized Science G3.18,8,"Polar bear diagram with labeled structures. Which provides camouflage?","Diagram of polar bear with labeled structures: rough tongue, strong legs, short tail, white fur (1072x449).",MC,"A) rough tongue, B) strong legs, C) short tail, D) white fur",D,3,3-LS4-3,2,"Visual diagram but task is simple identification.",1,"No meaningful practice. Structure-function identification.",2,"Tests understanding of camouflage as adaptation. Basic application.",2,"Engages Structure and Function (white fur → blending with snow).",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide data on polar bear fur coloring across different seasons/habitats and ask students to explain the pattern."
Alpha Standardized Science G3.18,9,"An ecosystem characterized by small amount of rain, dry thin soil, and different organisms. Which ecosystem?",None,MC,"A) Tundra, B) Desert, C) Tropical rainforest, D) Tide pool",B,3,3-LS4-4,2,"Multi-clue description but task is matching characteristics.",1,"No meaningful practice. Classification/matching.",2,"Tests ecosystem identification. Application level.",2,"Engages Patterns (characteristic patterns define ecosystems).",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide climate data for multiple ecosystems and ask students to compare and classify."
Alpha Standardized Science G3.18,10,"Table shows average wind speed by month. Which month recorded fastest wind speed?","Data table with monthly wind speed data (Jan-Dec).",MC,"A) June, B) March, C) April, D) September",C,3,3-ESS2-2,2,"Simple data table. Task is basic data lookup.",1,"No meaningful practice. Data reading.",2,"Tests ability to read a data table.",2,"Engages Patterns (identifying highest value in data).",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Elevate by asking students to identify seasonal wind patterns or predict future wind speeds."
