Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G3.17,1,"Which list shows the correct order of the life-cycle stages for a butterfly?",None,MC,"A) egg → caterpillar → adult butterfly → pupa, B) egg → pupa → caterpillar → adult butterfly, C) egg → caterpillar → pupa → adult butterfly, D) adult butterfly → egg → caterpillar → pupa",C,3,3-LS1-1,1,"No scenario. Pure sequence recall of butterfly metamorphosis.",1,"No practice engagement. Ordering memorized sequence.",2,"Tests life cycle stage knowledge. Recall level.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide unfamiliar insect life cycle data and ask students to identify stages from evidence."
Alpha Standardized Science G3.17,2,"Which correctly represents the common life cycle stages shared by most animals regardless of species?",None,MC,"A) Hatching metamorphosis reproduction and death, B) Birth/hatching growth reproduction and death, C) Egg larva pupa and adult, D) Baby child grown-up and old age",B,3,3-LS1-1,1,"No scenario. Pure recall of universal life cycle stages.",1,"No practice engagement. Recall.",2,"Tests understanding of common life cycle stages.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide life cycle data for unfamiliar organisms and ask students to identify common patterns."
Alpha Standardized Science G3.17,3,"How are the life cycles of an orange tree and a rose bush similar?",None,MC,"A) Both produce seeds only once, B) Both begin as seeds and eventually produce flowers and fruits, C) Both skip the seedling stage, D) Both can only reproduce through human intervention",B,3,3-LS1-1,1,"No scenario. Pure recall about plant life cycle similarities.",1,"No practice engagement. Recall.",2,"Tests understanding of shared plant life cycle features.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide growth data for multiple plants and ask students to compare life cycle patterns with evidence."
Alpha Standardized Science G3.17,4,"Liam has a pet dog. Which traits does Liam's dog have? Select all that apply.","Image of Liam's dog showing specific physical features (866x866).",MSA,"A) brown-and-white fur, B) black fur, C) blue eyes, D) floppy ears","C, A, D",3,3-LS3-1,2,"Visual observation task with a specific dog image.",2,"Engages 'Analyzing and Interpreting Data' — students must observe and identify specific traits from an image.",2,"Tests ability to identify inherited traits from visual evidence.",1,"No CCC engagement.",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Multi-select adds minor complexity but task is simple observation. Provide data on parent vs. offspring traits."
Alpha Standardized Science G3.17,5,"A young octopus has two parents with different tentacle patterns. Which pattern is the young octopus most likely to have?",None,MC,"A) Green stripes, B) Yellow rings, C) Red spots, D) A combination of blue spots and rings",D,3,3-LS3-1,2,"Scenario with specific parent trait data. Students predict offspring traits.",2,"Engages 'Constructing Explanations' — predicting offspring traits from parent variation.",2,"Tests understanding of inheritance and trait variation.",2,"Engages Patterns (offspring traits reflect parent traits).",2.0,Low Guided,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Good prediction concept. Elevate by providing data from multiple breeding pairs showing trait distributions."
Alpha Standardized Science G3.17,6,"Flamingos are known for their pink color. Which statement provides the strongest evidence that flamingos' pink color comes from their environment rather than genes?",None,MC,"A) Baby flamingos have same beak shape as parents, B) Flamingos turn pink when they eat food containing special pigments, C) Flamingos from same family have similar colors, D) Flamingos can develop color in zoos or wild",B,3,3-LS3-2,2,"Scenario about flamingo coloring with evidence evaluation.",2,"Engages 'Engaging in Argument from Evidence' — selecting the strongest evidence for an environmental cause.",3,"Requires evaluating evidence to distinguish inherited from acquired traits. Goes beyond recall.",2,"Engages Cause and Effect (diet → color change is strongest evidence).",2.25,Low Guided,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good evidence evaluation question. Elevate by providing data comparing flamingos on different diets."
Alpha Standardized Science G3.17,7,"A group of caribou live together to increase an individual's ___.",None,MC,"A) chance of survival, B) body temperature, C) ability to find underground plants, D) visibility to other herds",A,3,3-LS2-1,1,"No scenario. Fill-in-the-blank recall.",1,"No practice engagement. Recall.",2,"Tests basic understanding of group behavior benefit.",1,"No CCC engagement.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide caribou survival data for solo vs. herd individuals and ask students to analyze."
Alpha Standardized Science G3.17,8,"Emma found shark tooth snail shell and clam shell fossils on a mountain. What is the most likely explanation for how these fossils formed?",None,MC,"A) Organisms burned by volcanic activity, B) Left impressions in mud that hardened after drought, C) Preserved when frozen during ice age, D) Died and gradually buried by sediment that turned to rock",D,3,3-LS4-1,2,"Brief fossil discovery scenario. Students evaluate formation processes.",2,"Engages 'Constructing Explanations from Evidence' — evaluating multiple fossil formation hypotheses.",2,"Tests understanding of fossil formation through sedimentation.",2,"Engages Cause and Effect (burial in sediment → fossilization) and Stability and Change.",2.0,Low Guided,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Good multi-option question. Add more fossil detail and context for deeper analysis."
Alpha Standardized Science G3.17,9,"Camel's hump stores fat for energy when food and water are scarce. Does the paragraph explain how the hump is an adaptation?","Image of camel (2800x1575).",MC,"A) No it only says the camel has a hump, B) No it describes what it looks like but not why, C) Yes it explains hump stores fat to help survive when food/water scarce, D) No it talks about desert but not camel's body",C,3,3-LS4-3,3,"Rich scenario with explicit organism-environment relationship. Students must evaluate whether the description qualifies as an adaptation explanation.",2,"Engages 'Constructing Explanations' — evaluating whether a given explanation meets the criteria for describing an adaptation.",3,"Requires understanding what makes something an adaptation (function for survival) vs. just a trait description.",2,"Engages Structure and Function (hump structure → fat storage → survival function).",2.5,Low Guided,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good metacognitive question about adaptation explanations. Elevate by providing data on camels with/without fat reserves."
Alpha Standardized Science G3.17,10,"An ecosystem characterized by high rainfall warm temperatures high biodiversity and nutrient-poor soil. Which ecosystem?",None,MC,"A) Temperate deciduous forest, B) Desert, C) Tropical rainforest, D) Tide pool",C,3,3-LS4-4,2,"Multi-clue description but task is matching characteristics to a known ecosystem.",1,"No meaningful practice. Classification/matching.",2,"Tests ecosystem identification from characteristics. Application level.",2,"Engages Patterns (characteristic patterns define ecosystems).",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Provide actual climate data for multiple ecosystems and ask students to compare and classify."
