Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.1,1,"A scientist studied layers of rock on the side of a cliff. In the top layer she found fossilized sand dunes. In the middle layer she found fossils of coral, clamshells, and shark teeth. In the bottom layer she found fossils of fern leaves. What is the correct order of the environments from oldest to youngest?",None,MC,"A) desert ocean forest, B) desert forest ocean, C) ocean forest desert, D) forest ocean desert",D,4,4-ESS1-1,3,"Real scenario with multiple fossil layers. Students must reason about superposition and connect fossils to environments. Genuine uncertainty in ordering.",3,"Students analyze fossil evidence to construct an explanation of environmental change over time. Engages analyzing/interpreting data.",3,"Requires understanding that rock layers reveal environmental history and that fossils indicate past environments. Application-level.",2,"Implicitly uses Patterns (fossils in layers = pattern of change over time) but students don't explicitly reason with CCC.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a follow-up asking students to explain what evidence supports the ordering, requiring explicit use of Patterns in reasoning."
Alpha Standardized Science G4.1,2,"The pahoehoe lava flows down the side of the Kilauea volcano. Scientists want to predict which way the lava will flow next. The figure shows two paths. Which statement best describes how the lava will flow?","Map showing Kilauea volcano with two paths W and X",MC,"A) Path W because it is long, B) Path X because it is steep and lets lava move quickly, C) Path W because it is flat, D) Path X because it is short",B,4,4-ESS2-1,3,"Extended scenario about Hawaiian volcanoes with scientific context. Students must reason about lava flow using topographic reasoning.",3,"Students construct an explanation predicting lava flow based on slope/topography evidence. Engages constructing explanations.",3,"Requires understanding Earth surface processes and how gravity and slope affect flow. Application-level.",3,"Engages Cause and Effect directly — steep slope causes faster lava movement. Students reason causally.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Solid question with real phenomenon. Could elevate by asking students to explain WHY steeper paths move lava faster, making the cause-effect reasoning explicit."
Alpha Standardized Science G4.1,3,"Devils Tower is a landform in Wyoming that was buried underground for millions of years. About 5 million years ago several processes occurred. Which statement best explains one of the layers of rock around the landform?","Diagram showing Devils Tower with labeled layers X Y Z",MC,"A) Layer Y was once lava, B) Layer Z was once above Layer X, C) Layer Y is younger than Layer X, D) Layer X was once under the ocean",D,4,4-ESS1-1,3,"Real geological landform with layered rock context. Students must reason about how ocean fossils end up on land. Genuine scientific reasoning required.",3,"Students analyze rock layer evidence to construct an explanation of Earth's history. Engages constructing explanations from evidence.",3,"Requires understanding rock layer formation and past environments. Goes beyond recall to reasoning about geological history.",2,"Implicitly engages Stability and Change but not explicitly required as a reasoning tool.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good geological context. Strengthen by adding fossil evidence in each layer and asking students to reconstruct the environmental history."
Alpha Standardized Science G4.1,4,"Melissa and Rebecca created models of two waves. Which statement best describes the relationship between the two waves in the models?","Diagram showing two waves with different amplitudes and wavelengths",MC,"A) Same amplitude, B) Long-wavelength wave has higher amplitude, C) Long-wavelength wave has lower amplitude, D) One is water one is air",B,4,4-PS4-1,3,"Students observe wave models and must describe differences in properties. Visual analysis required.",3,"Students analyze and interpret data from wave models. Engages analyzing/interpreting data from models.",3,"Requires understanding wave properties (amplitude, wavelength) and their relationships. Application-level.",2,"Patterns is implicitly relevant (wave patterns) but not explicitly required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Add a part B asking students to predict what happens to amplitude if wavelength changes, engaging Cause and Effect."
Alpha Standardized Science G4.1,5a,"The figure shows several layers of rock and a line where there was movement. Part A: Which set of statements best explains the order of events that formed the rock layers?","Diagram showing rock layers Q E T with a fault line",MC,"A) Q E T, B) T E Q, C) E Q T, D) T Q E",B,4,4-ESS1-1,3,"Multi-part question about rock layer ordering with a fault line. Students must apply superposition principle. Genuine reasoning required.",3,"Students analyze rock layer evidence and construct an explanation for ordering. Two-part structure adds depth.",3,"Requires understanding superposition — bottom layers are oldest. Applied in a specific context with added complexity of fault.",2,"Implicitly uses Patterns (layer ordering = pattern) but CCC not explicitly required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good two-part structure. Part B strengthens the question by requiring evidence-based reasoning."
Alpha Standardized Science G4.1,5b,"Part B: Which evidence best supports the answer to Part A?",Same diagram as 5a,MC,"A) Layer Q is at top so oldest, B) Layer T is at bottom so oldest, C) Layer Q is thicker so formed first, D) Layers E and T are thicker on one side so formed after Q",B,4,4-ESS1-1,3,"Part B requires identifying evidence that supports the reasoning in Part A. Good evidence-to-claim structure.",4,"Explicitly asks students to support their claim with evidence. Directly engages Engaging in Argument from Evidence. Higher practice demand.",3,"Same DCI as Part A but now applied to evidence evaluation. Students must distinguish relevant from irrelevant evidence.",3,"Engages Cause and Effect — bottom position (cause) means older formation (effect). Students must reason causally.",3.25,High Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Strong question. The evidence-to-claim structure is well designed. Consider adding a third part asking students to explain what the fault line tells us."
Alpha Standardized Science G4.1,6,"Scientists found layers of rock containing the fossils shown. Which conclusion can scientists make from studying these rock layers?","Diagram showing 5 fossil layers numbered 1-5 from bottom to top",MC,"A) Fossil 1 is the oldest, B) Fossil 2 is older than Fossil 3, C) Fossil 4 is younger than Fossil 5, D) Fossil 5 is the youngest",C,4,4-ESS1-1,3,"Another rock layer/fossil question. Students must apply superposition to determine relative fossil ages.",2,"Students identify a conclusion from rock layer evidence but the reasoning is straightforward application of superposition.",3,"Requires applying superposition principle to fossil ordering. Slightly repetitive with Q1 Q3 Q5.",2,"Implicitly uses Patterns but not explicitly.",2.5,Low Guided Integration,Partially Meets,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Fourth question on rock layers/superposition (Q1 Q3 Q5a/b Q6). Reduce repetition and replace with questions on other G4 standards."
Alpha Standardized Science G4.1,7,"Many objects produce heat energy. Students want to sort objects into two groups. Which question should students ask to decide which object to put into Group 2? Group 1: Objects that use electricity to produce heat. Group 2: Objects that use stored energy to produce heat.",None,MC,"A) How much heat energy? B) How do people use the heat energy? C) Can the object produce heat without being plugged in? D) Can the heat energy be changed?",C,4,4-PS3-2,3,"Real sorting task about energy sources. Students must reason about what distinguishes electrical vs stored energy sources.",3,"Engages Planning and Carrying Out Investigations — students must identify the right question to ask for sorting. Meta-cognitive engagement with scientific practice.",3,"Requires understanding different energy sources (electrical vs. stored/chemical) and how to distinguish them. Application.",2,"Implicitly engages Patterns (grouping by energy source type) but not explicitly required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good question structure that asks students to formulate a sorting question. Could add images of actual objects to make it more concrete."
Alpha Standardized Science G4.1,8,"A prairie dog whistles loudly when it senses danger. When it whistles all the prairie dogs nearby run and hide. Which sense helps the other prairie dogs receive this warning?",None,MC,"A) hearing, B) sight, C) smell, D) taste",A,4,4-LS1-2,1,"No real scenario — direct recall of which sense detects sound. Answer is trivially obvious.",1,"No practice engaged. Pure recall of the function of hearing.",2,"Tests understanding that hearing processes sound information. Trivially applied.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Too simple. Redesign to present multiple sensory scenarios and ask students to explain how different senses work together to help prairie dogs survive."
Alpha Standardized Science G4.1,9,"Which form of energy is produced when a person claps his hands?",None,MC,"A) chemical, B) electrical, C) light, D) sound",D,4,4-PS3-2,1,"No scenario. Pure recall of energy forms. No reasoning required.",1,"No practice engaged. Direct recall.",2,"Tests knowledge that clapping produces sound energy. Recall only.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure recall. Redesign around a scenario: provide data about different actions and their energy outputs, asking students to match and explain energy transformations."
