Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.4,1,"Daniel found mice fossils at 40 feet below the surface and snake fossils at 90 feet below the surface. Which statement is true about the age of the fossils?",None,MC,"A) The mice fossils are older because they are smaller, B) The snake fossils are older because they are deeper underground, C) The mice fossils are older because mice lived before snakes, D) The snake fossils are older because snakes are larger",B,4,4-ESS1-1,2,"Minimal scenario with two fossil depths. Students apply superposition principle (deeper = older) but the context is thin and the reasoning is a direct application of a rule.",2,"Students apply the superposition principle to determine relative age. Limited practice depth — straightforward rule application rather than genuine data analysis.",2,"Tests understanding that deeper rock layers and their fossils are older. Direct recall-level application of superposition.",2,"Implicitly engages Patterns (deeper = older as a pattern) but students are not required to reason explicitly with the CCC.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure rule application. Redesign by providing a stratigraphic column with multiple fossil types at various depths and ask students to construct an explanation of environmental change over time."
Alpha Standardized Science G4.4,2,"Which is the best example of renewable energy?",None,MC,"A) Burning coal to heat a home, B) Using a windmill to produce electricity, C) Burning wood in a fireplace, D) Using gasoline to power a car",B,4,4-ESS3-1,1,"No scenario or context. Pure recall of renewable vs nonrenewable energy classification. No reasoning required.",1,"No practice engaged. Direct classification/recall.",2,"Tests understanding that wind energy is renewable. Recall-level knowledge.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure recall. Redesign by presenting data on energy source availability over time and asking students to identify patterns that distinguish renewable from nonrenewable resources."
Alpha Standardized Science G4.4,3,"Electrical energy in a wire reaches a lamp bulb. The electrical energy is converted into which type of energy?",None,MC,"A) Sound energy, B) Light energy, C) Motion energy, D) Chemical energy",B,4,4-PS3-2,1,"No scenario or context. Pure recall of energy conversion in a light bulb. No reasoning required.",1,"No practice engaged. Direct recall of energy conversion.",2,"Tests understanding that electrical energy converts to light in a lamp. Recall-level knowledge.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure recall. Redesign by asking students to trace the full energy conversion chain in a lamp (electrical to light and heat) and explain why the bulb also gets warm."
Alpha Standardized Science G4.4,4,"Which is the best example of a non-renewable resource?",None,MC,"A) Using solar panels to generate electricity, B) Using wind turbines to generate electricity, C) Planting trees for wood, D) Burning gasoline to power a car",D,4,4-ESS3-1,1,"No scenario. Pure recall of nonrenewable resource classification. Nearly identical construct to Q2.",1,"No practice engaged. Direct classification/recall.",2,"Tests understanding that gasoline is a nonrenewable resource. Recall-level knowledge.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Nearly identical to Q2 in reverse. Redundant. Replace with a question asking students to evaluate trade-offs between energy sources using data."
Alpha Standardized Science G4.4,5,"Which is correct for water?",None,MC,"A) When water is frozen it turns to steam, B) When water is boiled it turns to ice, C) When liquid water is heated it turns to steam, D) When liquid water is cooled it turns to steam",C,4,4-PS3-2,1,"No scenario. Pure recall of phase change. No reasoning or application required.",1,"No practice engaged. Direct recall of phase changes.",2,"Tests understanding that heating liquid water produces steam (gas). Recall-level.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure recall with poorly constructed distractors (all other options are scientifically nonsensical). Redesign to present temperature data showing a phase change and ask students to explain the energy transfer involved."
Alpha Standardized Science G4.4,6,"Which action best helps reduce pollution?",None,MC,"A) Building more factories, B) Driving more cars, C) Cutting down more trees, D) Putting filters on factory chimneys",D,4,4-ESS3-1,1,"No scenario. Pure recall of pollution reduction strategies. No reasoning required.",1,"No practice engaged. Direct recall.",2,"Tests understanding that filters reduce pollution. Recall-level knowledge.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure recall with obvious distractors (three options increase pollution). Redesign by presenting air quality data before and after a community implements different solutions and asking students to evaluate effectiveness."
Alpha Standardized Science G4.4,7,"Which type of energy allows us to see a reflection in a mirror?",None,MC,"A) Light energy, B) Sound energy, C) Heat energy, D) Chemical energy",A,4,4-PS4-2,1,"No scenario. Pure recall that light allows us to see reflections. Trivially obvious.",1,"No practice engaged. Direct recall.",1,"Tests that light allows vision/reflection. Below grade-level depth — this is basic recall.",1,"No CCC engaged.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Trivially simple. Redesign to ask students to explain how light reflects off a mirror to allow us to see objects that are not in our direct line of sight."
Alpha Standardized Science G4.4,8,"What type of natural disaster would explain why rock layers on one side of a valley do not line up with rock layers on the other side?",None,MC,"A) Tornado, B) Flood, C) Earthquake, D) Volcanic eruption",C,4,4-ESS1-1,2,"Minimal scenario about misaligned rock layers. Students must connect the observation to earthquake faulting as a cause.",2,"Students select a causal explanation for an observed geological feature. Some reasoning required but the connection is fairly direct.",3,"Requires understanding that earthquakes cause faulting which shifts rock layers. Applied understanding of geological processes.",2,"Engages Cause and Effect — earthquake (cause) shifts rock layers so they don't align (effect). Basic causal reasoning.",2.25,Low Guided Integration,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Decent concept. Strengthen by providing a diagram of the misaligned layers and asking students to draw arrows showing the direction of movement and explain what force caused the displacement."
Alpha Standardized Science G4.4,9,"Organisms have internal and external structures that support which of the following?",None,MC,"A) Growth only, B) Survival only, C) Reproduction only, D) All of these — growth survival and reproduction",D,4,4-LS1-1,1,"No scenario. Pure recall of the purpose of structures in organisms. The 'all of the above' answer is a test-taking cue.",1,"No practice engaged. Direct recall of a broad statement about organism structures.",2,"Tests understanding that structures support growth survival and reproduction. Recall of the standard itself.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure recall of the PE statement. 'All of the above' is a test-taking cue. Redesign to present a specific organism and ask students to explain how particular structures support different life functions."
Alpha Standardized Science G4.4,10,"Plants in desert regions have which of the following characteristics?",None,MC,"A) Large flat leaves to absorb sunlight, B) Structures to retain and conserve water, C) Deep roots to reach underground rivers, D) Thin stems to reduce wind resistance",B,4,4-LS1-1,2,"Minimal context about desert plants. Students must identify the key adaptation for desert survival. Some reasoning about environment-structure connection.",2,"Students connect environment to structural adaptation. Limited practice depth — essentially selecting the correct adaptation from a list.",2,"Tests understanding that desert plants have water-conserving structures. Recall-level with slight application.",2,"Implicitly engages Structure and Function — structures related to their function in water conservation — but not explicitly required.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Near-recall. Redesign by presenting data on water loss rates for plants with different leaf types and asking students to explain which structure is best adapted for desert conditions and why."
