Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.13,1,"Cat Max's eyes glow green in dark corners but not in lit areas. Why do Max's eyes appear to glow in dark corners?",None,MC,"A) Max's eyes produce their own light in the dark, B) Light reflects more strongly off a special layer in cat's eyes in the dark, C) Max's eyes absorb all light in dark areas creating a glow, D) The dark causes a chemical reaction in Max's eyes that produces green light",B,4,4-PS4-2,3,"Real-world phenomenon (cat's glowing eyes) that students must explain. Observable and puzzling — requires reasoning about light behavior rather than simple recall.",3,"Students construct an explanation for an observed phenomenon using understanding of light reflection. Engages Constructing Explanations.",3,"Requires understanding that light reflects off surfaces and that we see objects because of reflected light. Applied to a novel biological context (tapetum lucidum) at grade-appropriate level.",3,"Directly engages Cause and Effect — the special reflective layer (cause) produces the glowing appearance (effect). Students must reason about why the glow appears only in dark settings.",3.0,Low Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"Good phenomenon-driven question about light reflection. Strengthen by adding a Part B asking students to explain why the glow is NOT visible in bright areas, requiring deeper causal reasoning about relative brightness."
Alpha Standardized Science G4.13,2,"A scientist studies wetland animals that have scales, can control their body temperature, and have specialized feet for moving through water and mud. Which pair of animals is the scientist MOST LIKELY studying?",None,MC,"A) Frogs and salamanders, B) Ducks and herons, C) Otters and beavers, D) Crocodiles and turtles",D,4,4-LS1-1,2,"Provides a scientist context but the task is essentially classifying animals by traits — recall of which animals have scales and temperature regulation. Limited reasoning demand.",2,"Students match trait descriptions to organisms. Engages classification but at an identification level rather than deeper practice.",2,"Tests knowledge of animal structural features (scales, thermoregulation). Recall-level classification of organisms by traits.",2,"Implicitly engages Structure and Function (scales and feet serve functions) but students are not asked to reason about why these structures help the animals.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Essentially a classification recall question. Redesign to present an unfamiliar wetland organism with described traits and ask students to explain how each trait helps it survive in the wetland environment, engaging Structure and Function."
Alpha Standardized Science G4.13,3,"A young plant in a garden has received no rain for a week. Its leaves are drooping even though the soil is still damp below the surface. Why is this happening?",None,MC,"A) The plant's leaves are too heavy for the stem to support, B) The plant is getting too much sunlight causing the leaves to wilt, C) The root hairs are too damaged to absorb water effectively, D) The soil below the surface is too cold for the plant to use",C,4,4-LS1-1,3,"Real-world scenario with a puzzling observation — soil is damp yet plant is wilting. Creates genuine cognitive demand because the obvious explanation (no water) is contradicted by the damp soil detail.",3,"Students must construct an explanation that reconciles conflicting evidence (damp soil + wilting). Engages Constructing Explanations from evidence. Requires evaluating multiple possible causes.",3,"Requires understanding plant structure and function — specifically how roots absorb water and transport it. Goes beyond recall to applied reasoning about root function.",3,"Engages Cause and Effect (damaged roots cause inability to absorb water despite availability) and Structure and Function (root hairs as structures for water absorption). Students reason with both CCCs.",3.0,Low Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"Strong question with a puzzling phenomenon that requires reconciling conflicting observations. Elevate by providing data about different soil conditions and root health and asking students to identify patterns in plant health."
Alpha Standardized Science G4.13,4,"Students are building a model of the digestive system. One student asks: Why can't we just skip some parts? Which answer BEST explains why all parts are needed?",None,MC,"A) All parts look the same and do the same job, B) The parts are only there to make the system look complete, C) Each part is connected but only the stomach does important work, D) Each part plays a different role; removing one stops the body from getting energy or removing waste",D,4,4-LS1-1,3,"Embedded in a modeling activity context. Students reason about why a system model must include all components. Engages thinking about organ system interdependence.",3,"Students reason about a model and justify why components cannot be removed. Engages Developing and Using Models — reasoning about what makes a model complete and functional.",3,"Requires understanding that the digestive system has multiple organs with distinct functions that work together. Goes beyond naming parts to understanding interdependence.",3,"Directly engages Systems and System Models — students must reason that each component plays a role in the system and removing one disrupts system function. Strong CCC engagement.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good systems-thinking question embedded in a modeling context. Strengthen by providing a diagram of the digestive system model and asking students to predict what specific problem would occur if a particular part were removed."
Alpha Standardized Science G4.13,5,"An Arctic fox has thick white fur and small round ears in winter. How do these features help the fox survive in its environment?",None,MC,"A) Fur provides insulation and small ears minimize heat loss, B) White fur helps the fox see better in snow and small ears help it hear prey, C) Thick fur makes the fox heavier to stay grounded in wind and small ears reduce wind noise, D) White fur attracts mates and small ears make the fox more aerodynamic",A,4,4-LS1-1,2,"Describes a real organism with specific adaptations but the question is a fairly standard structure-function matching task. Limited puzzlement or uncertainty.",2,"Students explain how structures serve survival functions. Engages Constructing Explanations at a basic level — selecting the correct function for given structures.",3,"Requires understanding how body structures (fur thickness, ear size) relate to survival in cold environments. Applied understanding of structure and function in organisms.",3,"Directly engages Structure and Function — thick fur insulates, small ears reduce surface area for heat loss. Students must connect structure to function explicitly.",2.5,Low Guided Integration,Partially Meets,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Standard structure-function question. Elevate by providing comparative data about Arctic fox winter vs. summer traits (ear size, fur thickness, color) and asking students to explain the pattern and predict what would happen if the fox kept summer traits in winter."
Alpha Standardized Science G4.13,6,"When food is placed in the kitchen, a cat comes running from another room. How does the cat know food has been placed?",None,MC,"A) The cat sees the food through the walls, B) The cat feels vibrations from the food being placed, C) The cat hears the owner calling even though no one called, D) The cat's nose sends electrical signals to the brain about the food smell",D,4,4-LS1-2,3,"Real-world scenario with an observable phenomenon (cat detecting food from another room). Students must reason about sensory processing — not just which sense, but the mechanism of signal transmission to the brain.",3,"Students construct an explanation involving sensory processing mechanisms. Goes beyond naming the sense (smell) to explaining the signal pathway. Engages Constructing Explanations.",3,"Requires understanding that sensory organs detect stimuli and transmit information to the brain as electrical signals. Applied understanding of information processing in organisms.",2,"Implicitly engages Cause and Effect (smell molecules cause receptor activation causing brain signals) but the causal chain is embedded in the answer rather than requiring explicit reasoning.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good that it requires understanding the mechanism (electrical signals to brain) rather than just naming the sense. Strengthen by asking a Part B about what would happen if the cat's olfactory nerves were damaged — requiring causal chain reasoning."
Alpha Standardized Science G4.13,7,"A student studying sedimentary rocks in a canyon observes fossils from bottom to top: sea creatures, fish, swamp plants, dry-land plants. Which BEST explains this sequence?",None,MC,"A) The animals migrated from the ocean to land over time, B) The environment changed from ocean to swamp to dry land over time, C) A flood carried all the fossils and deposited them randomly, D) The organisms evolved to live on land instead of water",B,4,4-ESS1-1,3,"Presents a real geological scenario with sequential fossil evidence in rock layers. Students must reason about environmental change over time using fossil evidence. Genuine analytical demand.",3,"Students analyze fossil evidence across layers to construct an explanation of environmental change. Engages Analyzing and Interpreting Data and Constructing Explanations from evidence.",3,"Requires understanding that fossils in rock layers provide evidence of past environments and that the sequence reflects environmental change over geological time. Applied reasoning.",3,"Engages Patterns (fossil sequence reveals a pattern of environmental change) and Stability and Change (environments change over time as evidenced by fossils). Students must recognize the pattern to answer.",3.0,Low Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"Strong evidence-based reasoning question. Elevate by asking a follow-up: What would you predict fossils in a layer ABOVE the dry-land plants might look like if the pattern continued? This would deepen pattern-based reasoning."
Alpha Standardized Science G4.13,8,"A coastal cliff has caves and openings carved into its bottom by waves. The upper part of the cliff remains unchanged. Why is the bottom different from the top?",None,MC,"A) The bottom rocks are softer than the top rocks, B) Animals at the bottom have dug holes into the cliff, C) Continuous wave action breaks down and carries away rock particles at the base, D) The bottom of the cliff is older and has had more time to erode naturally",C,4,4-ESS2-1,3,"Real coastal phenomenon with an observable contrast (eroded bottom vs. intact top). Students must explain the differential erosion pattern using understanding of wave erosion processes.",3,"Students construct an explanation for a geologic observation. Engages Constructing Explanations — must connect wave action to the observed erosion pattern at the cliff base.",3,"Requires understanding that water (waves) weathers and erodes rock through physical processes over time. Applied understanding of Earth surface processes.",3,"Engages Cause and Effect (wave action causes erosion at the base) and Patterns (differential erosion creates a pattern). Students must reason about why erosion is concentrated at the bottom.",3.0,Low Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"Good causal reasoning question about differential erosion. Strengthen by providing diagrams showing the cliff at different time points and asking students to predict future changes and explain the pattern."
Alpha Standardized Science G4.13,9,"A coastal cliff is changing rapidly. It faces the open ocean, undergoes freeze/thaw cycles, and has cracks where plants are growing. Why is this cliff changing more rapidly than other cliffs?",None,MC,"A) The cliff is made of a special type of rock that dissolves quickly, B) Multiple types of weathering and erosion are working together on the cliff, C) The cliff is very old and has been eroding for millions of years, D) The plants on the cliff are the primary cause of its rapid erosion",B,4,4-ESS2-1,4,"Presents a complex scenario with multiple interacting factors (wave erosion, freeze/thaw, biological weathering). Students must synthesize multiple weathering processes rather than identify just one. Higher cognitive demand.",4,"Students must analyze multiple factors and synthesize them into a unified explanation. Engages Constructing Explanations at a higher level — requires reasoning about how multiple processes interact to accelerate change.",3,"Requires understanding multiple weathering and erosion processes (mechanical, chemical, biological) and their combined effects. Applied at a synthesis level.",3,"Directly engages Cause and Effect (multiple causes produce accelerated change) and Systems thinking (multiple interacting processes as a system). Students must reason about interaction effects.",3.25,High Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"One of the stronger questions on the test. The multi-factor scenario creates genuine complexity. Could elevate further by asking students to rank which factor contributes most and justify their reasoning with evidence."
Alpha Standardized Science G4.13,10,"A geologist is studying a topographic map of a coastal area. The contour lines are widely spaced inland but become very close together near the ocean. What landform does this pattern of lines indicate?",None,MC,"A) A flat sandy beach gradually sloping into the ocean, B) A river delta with many branching waterways, C) A gentle rolling hillside leading to the ocean, D) A coastal cliff with a steep drop to the ocean",D,4,4-ESS2-2,3,"Students must interpret a topographic map pattern — widely spaced lines indicate gentle slope, closely spaced indicate steep terrain. Requires understanding of topographic map conventions and applying them to identify a landform.",3,"Students analyze and interpret data from a topographic map representation. Engages Analyzing and Interpreting Data — map reading requires practice-level reasoning.",3,"Requires understanding topographic map conventions (contour line spacing indicates steepness) and applying that knowledge to identify a specific landform. Applied understanding.",3,"Engages Patterns — students must recognize the pattern in contour line spacing and connect it to slope steepness. Pattern recognition is central to answering correctly.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good map interpretation question requiring pattern recognition. Strengthen by providing the actual topographic map image and asking students to draw a profile view of the landscape, making the map-to-terrain connection explicit."
