Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.9,1,"An ermine weasel changes its fur color from brown to white in winter. Evaluate the following statements about how this helps the weasel survive: (True/False for 5 statements about camouflage, predator avoidance, and seasonal adaptation).",None,TEI,"True/False for 5 statements about ermine weasel survival traits",TEI,4,4-LS1-2,3,"Real organism scenario involving seasonal adaptation. Students must evaluate multiple statements about how fur color change helps survival. Requires reasoning about behavioral and structural adaptations.",3,"Students evaluate multiple claims about adaptation and survival. Engages Engaging in Argument from Evidence — must assess each statement's validity against understanding of camouflage and predator-prey relationships.",3,"Requires understanding that organisms have structures and behaviors that help them survive in their environments. Applied across multiple statements requiring nuanced judgment.",2,"Implicitly engages Cause and Effect — fur color change (cause) improves survival (effect) — but the CCC is not explicitly required as a reasoning tool.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good multi-statement format that tests nuanced understanding. Could elevate by asking students to explain WHY white fur helps in winter specifically, engaging Structure and Function more explicitly."
Alpha Standardized Science G4.9,2,"Compare Waves A and B shown in the figure. Which statement correctly identifies a difference between the two waves?","Diagram showing two waves (Wave A and Wave B) with different amplitudes and/or wavelengths",MC,"A) Wave A has a longer wavelength than Wave B, B) Wave B has a larger amplitude than Wave A, C) Wave A has a larger amplitude than Wave B, D) Both waves have the same amplitude and wavelength",C,4,4-PS4-1,3,"Visual comparison of two wave diagrams. Students must analyze wave properties from diagrams and identify specific differences in amplitude or wavelength.",3,"Students analyze and interpret data from wave models. Engages Analyzing and Interpreting Data — must compare visual representations to identify measurable differences.",3,"Requires understanding wave properties (amplitude, wavelength) and the ability to distinguish them visually. Applied understanding beyond simple recall.",2,"Implicitly engages Patterns — recognizing differences in wave shape as meaningful property differences — but CCC is not explicitly required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Solid visual analysis question. Strengthen by adding a Part B asking students to predict which wave carries more energy and explain why, connecting amplitude to energy transfer."
Alpha Standardized Science G4.9,3,"Melissa and Rebecca created models of two waves. Which statement best describes the relationship between the two waves in the models?","Diagram showing two waves with different wavelengths but same amplitude",MC,"A) The amplitudes are the same regardless of wavelength, B) The wave with the longer wavelength has a higher amplitude, C) The wave with the shorter wavelength has a higher amplitude, D) Wavelength and amplitude are always equal",A,4,4-PS4-1,3,"Students compare two wave models and must reason about the independence of amplitude and wavelength. Requires genuine analysis of wave properties rather than simple recall.",3,"Students analyze wave models to determine the relationship between two properties. Engages Developing and Using Models and Analyzing and Interpreting Data.",3,"Requires understanding that amplitude and wavelength are independent properties of waves. Goes beyond recall to understanding property relationships.",3,"Engages Patterns — recognizing that amplitude remains constant while wavelength varies. Students identify a meaningful pattern in wave behavior.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good conceptual question about wave property independence. Could elevate by asking students to draw a third wave with a different wavelength but the same amplitude, engaging model construction."
Alpha Standardized Science G4.9,4,"Hawks have entered a forest ecosystem with an existing food web. The food web shows that foxes and hawks both eat mice. Select all that apply: What changes might happen in this food web?",None,MS,"A) Mice increase, B) Plants decrease, C) Mice decrease, D) Foxes may decrease due to competition, E) Hawks will leave","C, D",4,Not G4 NGSS (5-LS2-1),2,"Scenario involves a food web disruption but food webs and ecosystem interactions are not part of Grade 4 NGSS standards (this is Grade 5 content: 5-LS2-1). The scenario requires reasoning about predator-prey dynamics.",2,"Students predict outcomes from a food web change. Engages Constructing Explanations but the reasoning is limited to basic predator-prey logic.",2,"Food webs and ecosystem interactions are Grade 5 DCI (LS2.A). Not aligned to Grade 4 standards. Content is below the complexity expected for the standard it would align to.",2,"Engages Cause and Effect — new predator (cause) leads to prey decline and competition effects (effect). Basic causal reasoning.",2.0,Scripted,Does Not Meet,Partially Meets,Does Not Meet,Does Not Meet,Weak,"OFF-GRADE CONTENT: Food webs are Grade 5 NGSS (5-LS2-1). Remove or replace with a Grade 4 aligned question about organism structures/behaviors for survival (4-LS1)."
Alpha Standardized Science G4.9,5,"Sonya sets up a terrarium to show matter cycling in an ecosystem. Select all that would help demonstrate matter cycling in her terrarium.",None,MS,"A) Add worms and fungi as decomposers, B) Add more plants only, C) Add a lizard whose droppings return nutrients to soil, D) Seal the terrarium completely, E) Remove all soil","A, C",4,Not G4 NGSS (5-LS2-1),3,"Scenario involves matter cycling in ecosystems which is a Grade 5 concept (5-LS2-1). Students must reason about decomposition and nutrient cycling. The terrarium context is engaging but misaligned to Grade 4 standards.",2,"Students select components that demonstrate matter cycling. Engages Planning and Carrying Out Investigations at a basic level — choosing design elements for a system.",2,"Matter cycling in ecosystems is Grade 5 DCI (LS2.B). Not aligned to Grade 4 NGSS standards. The concept requires understanding of decomposition and nutrient cycles.",2,"Engages Systems and System Models — terrarium as a model ecosystem — but the system-level reasoning is implicit.",2.25,Low Guided Integration,Does Not Meet,Partially Meets,Does Not Meet,Does Not Meet,Needs Improvement,"OFF-GRADE CONTENT: Matter cycling in ecosystems is Grade 5 NGSS (5-LS2-1). Replace with Grade 4 content about internal/external structures that support survival (4-LS1-1)."
Alpha Standardized Science G4.9,6,"In an ecosystem, energy flows from one organism to another. Which statement best describes how energy flows in an ecosystem?",None,MC,"A) Energy flows from animals to the sun, B) Grass uses and stores energy from the sun and this energy flows to all other organisms, C) Energy is created by consumers, D) Energy flows from predators to prey",B,4,Not G4 NGSS (5-PS3-1/5-LS2-1),2,"Basic question about ecosystem energy flow. Energy flow through ecosystems is Grade 5 content. The question itself is fairly recall-oriented with no specific scenario.",1,"No meaningful practice engaged. Students select a factual statement about energy flow. Pure recall.",2,"Energy flow through ecosystems is Grade 5 DCI. Not aligned to Grade 4 NGSS. The content is basic recall even for Grade 5.",1,"No CCC explicitly engaged beyond the implicit concept of Energy and Matter flow.",1.5,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Does Not Meet,Weak,"OFF-GRADE CONTENT: Ecosystem energy flow is Grade 5 NGSS (5-PS3-1, 5-LS2-1). Replace with Grade 4 energy transfer/conversion content (4-PS3-2)."
Alpha Standardized Science G4.9,7,"When light bounces off an object, the light is said to be ___.",None,MC,"A) reflected, B) refracted, C) absorbed, D) transmitted",A,4,4-PS4-2,1,"No scenario. Pure vocabulary recall about light behavior. The question tests only a definition.",1,"No practice engaged. Direct recall of a vocabulary term.",1,"Tests recall of the definition of reflection. No application or reasoning required. Pure terminology.",1,"No CCC engaged.",1.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure vocabulary recall. Redesign with a scenario: show a student looking at an object and ask why they can see it, requiring students to apply the concept of reflection to explain vision."
Alpha Standardized Science G4.9,8,"A concave lens causes objects to appear smaller. Which of the following is NOT likely to use a concave lens?",None,MC,"A) Magnifying glass, B) Peephole in a door, C) Security camera, D) Rearview mirror on a car",A,4,4-PS4-2,2,"Provides some context about lens properties but the question is essentially classification/recall about which devices use which lens types. The NOT format adds a layer of reasoning.",2,"Students must apply knowledge of concave vs. convex lens applications. Engages basic reasoning about Structure and Function of optical devices but is primarily recall.",2,"Tests understanding of concave lens properties and their applications. Applied at classification level. Lens types are related to 4-PS4-2 but the specific lens type content may exceed Grade 4 expectations.",2,"Implicitly engages Structure and Function — lens shape determines its optical effect — but the CCC is not the focus of reasoning.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Primarily recall of lens applications. The NOT format can confuse students without adding depth. Redesign by providing a scenario where students must select the correct lens for a specific purpose and explain why."
Alpha Standardized Science G4.9,9,"In a parallel circuit with three lightbulbs, what happens if one lightbulb goes out?",None,MC,"A) All lightbulbs go out, B) The remaining lightbulbs get brighter, C) All lightbulbs except the broken one stay lit, D) The circuit stops working completely",C,4,4-PS3-4,2,"Basic question about parallel circuit behavior. No investigation or data context — students simply recall how parallel circuits function.",2,"Students apply understanding of parallel circuits to predict an outcome. Limited practice depth — straightforward application of a rule.",2,"Tests understanding that parallel circuits maintain independent paths so one failure does not affect others. Applied at a basic level.",2,"Implicitly engages Cause and Effect — one bulb failing (cause) does not affect others (effect) — but reasoning is minimal.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Basic recall of parallel circuit behavior. Redesign by providing both series and parallel circuit diagrams with data, asking students to compare outcomes and explain WHY they differ using energy flow reasoning."
Alpha Standardized Science G4.9,10a,"A solar energy system is shown in Figure 2. Part A: Which piece of evidence from the figure shows that energy is transferred by light?","Figure 2 showing a solar energy system with panels and heated liquid",MC,"A) The solar panel is dark colored, B) The wires connect to a battery, C) The system is outdoors, D) Energy from the Sun heats the liquid in the system",D,4,4-PS3-2,3,"Multi-part question using a diagram of a solar energy system. Students must identify specific evidence of light energy transfer from a figure. Requires analysis of a real system.",3,"Students analyze evidence from a diagram to identify energy transfer. Engages Analyzing and Interpreting Data — must connect visual evidence to a scientific claim about energy transfer.",3,"Requires understanding that light carries energy and can be transferred to heat a substance. Applied to a real-world solar energy system.",3,"Engages Energy and Matter — tracing energy transfer from light to heat. Students must reason about energy flow through the system.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good evidence-identification question. The two-part structure adds depth. Could be strengthened by asking students to explain how they know the evidence specifically shows light energy rather than another form."
