Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.10,1,"Students test how far toy cars roll after being pushed. Car A rolls 50 cm, Car B rolls 120 cm, and Car C rolls 200 cm. Which statement supports the claim that a faster car has more energy?",None,MC,"A) Car C had the most energy because it rolled the farthest, B) Car A had the most energy because it rolled the shortest, C) Car B had the most energy because it rolled in the middle, D) All cars had the same energy",A,4,4-PS3-1,3,"Real investigation scenario with data about toy cars and distance. Students must connect distance rolled to energy, requiring reasoning about the relationship between speed and energy.",3,"Students analyze data (distance measurements) to support a claim about energy. Engages Analyzing and Interpreting Data and Engaging in Argument from Evidence.",3,"Requires understanding the relationship between speed, motion, and energy — faster objects have more kinetic energy. Applied in an investigation context.",3,"Engages Cause and Effect — more speed (cause) results in more energy and greater distance (effect). Students reason causally about the data.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good data-based question. Strengthen by asking students to predict how far a Car D traveling faster than Car C would roll, or to explain WHY more energy causes more distance."
Alpha Standardized Science G4.10,2,"Drop-down: Kira should make the track ___ to give the marble more energy.",None,TEI,"taller / shorter / wider / narrower",taller,4,4-PS3-1,2,"Minimal scenario about a marble track. Students must connect height to energy but the reasoning is fairly direct.",2,"Students select a completion for a statement. Limited practice engagement — no data analysis or explanation construction.",2,"Tests understanding that height relates to potential energy — a taller track gives more energy. Recall-level application.",2,"Implicitly engages Cause and Effect (taller track causes more energy) but in a trivial way.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Drop-down format limits depth. Redesign by providing data showing marble speeds at different track heights and asking students to identify the pattern and explain WHY taller tracks produce more energy."
Alpha Standardized Science G4.10,3,"A student places a cup of water in the freezer. After several hours the water turns to ice. Which statement BEST explains the energy transfer that occurred?",None,MC,"A) Cold from the freezer moved into the water, B) Heat energy from the water moved to the colder freezer air, C) The water created its own cold energy, D) No energy was transferred",B,4,4-PS3-2,3,"Real observable phenomenon (water freezing). Students must reason about heat transfer direction — a common misconception area where students think cold moves rather than heat leaving.",3,"Students construct an explanation for an observed energy transfer. Engages Constructing Explanations. Must reason against the common misconception that cold transfers in.",3,"Requires understanding that heat energy moves from warmer to cooler objects and that freezing involves heat leaving the water. Applied with conceptual depth.",3,"Engages Energy and Matter — energy flows from warmer to cooler. Also Cause and Effect — heat transfer (cause) leads to phase change (effect).",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good misconception-targeting question. Strengthen by adding a Part B asking students to predict what happens to the freezer air temperature and explain why, deepening the energy transfer reasoning."
Alpha Standardized Science G4.10,4,"A student holds a vibrating tuning fork near a piece of plastic wrap stretched over a bowl. Rice grains are placed on the plastic wrap. When the tuning fork vibrates near the wrap, the rice grains begin to move. Which statement about sound is BEST supported by this observation?",None,MC,"A) Sound waves can only travel through solid objects, B) Sound waves are caused by light energy, C) Sound waves carry energy from vibrating objects to nearby objects, D) Sound waves only move in straight lines",C,4,4-PS4-1,3,"Real investigation with observable phenomenon (rice moving from sound vibrations). Students must connect the observation to a claim about sound energy transfer. Genuine reasoning required.",3,"Students evaluate claims based on observational evidence. Engages Engaging in Argument from Evidence — must select the claim best supported by the phenomenon.",3,"Requires understanding that sound is a wave that carries energy and can cause objects to move. Applied in an investigation context.",3,"Engages Energy and Matter — sound energy transfers from tuning fork through air to rice. Cause and Effect — vibrations (cause) create sound waves that move rice (effect).",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Strong phenomenon-based question. Could be elevated by asking students to predict what would happen if the tuning fork were placed farther from the wrap, or if the fork vibrated at a different pitch."
Alpha Standardized Science G4.10,5,"A student places a solar-powered fan in the sunlight and the fan begins to spin. When the student moves the fan inside away from the sunlight, the fan stops spinning. Which statement BEST describes the energy transformations that occur?",None,MC,"A) Heat energy to sound energy to motion energy, B) Light energy to electrical energy to motion energy, C) Sound energy to light energy to heat energy, D) Motion energy to electrical energy to light energy",B,4,4-PS3-2,3,"Real observable phenomenon with a solar-powered device. Students must trace a chain of energy transformations. Genuine reasoning about the sequence of conversions required.",3,"Students construct an explanation for energy transformations in a device. Engages Constructing Explanations about energy conversion chains.",3,"Requires understanding of energy conversion chains — light to electrical to kinetic. Goes beyond single conversion to trace a multi-step transformation.",3,"Directly engages Energy and Matter — students trace energy flow through transformations. Also Cause and Effect — each conversion causes the next.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good multi-step energy transformation question. Strengthen by asking a Part B about what would happen if the solar panel were partially covered, requiring prediction about reduced energy flow."
Alpha Standardized Science G4.10,6,"A student rolls a marble toward another marble sitting inside a circle on the floor. The first marble hits the second marble, and the second marble rolls out of the circle. What caused the second marble to move?",None,MC,"A) The circle pushed the second marble, B) Gravity pulled the second marble out of the circle, C) The air around the marbles pushed the second marble, D) Energy was transferred from the first marble to the second marble",D,4,4-PS3-1,3,"Real observable scenario with marble collision. Students must explain the cause of motion through energy transfer rather than through common misconceptions.",3,"Students construct a causal explanation for observed motion. Engages Constructing Explanations from observation.",3,"Requires understanding that energy transfers between objects during collisions and that transferred energy causes motion. Applied understanding.",3,"Directly engages Cause and Effect — collision (cause) transfers energy (mechanism) causing motion (effect). Also Energy and Matter — energy transfer between objects.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good question with strong distractors targeting common misconceptions. Could be strengthened by asking students to predict what happens to the first marble's speed after the collision."
Alpha Standardized Science G4.10,7,"Car X is moving quickly and hits Car Y, which is sitting still. After the collision, Car Y begins to roll forward and Car X slows down. What does this observation show?",None,MC,"A) Car Y was heavier than Car X, B) Energy from Car X was transferred to Car Y during the collision, C) Car X lost all its energy completely, D) The ground pushed Car Y forward",B,4,4-PS3-1,3,"Real observable scenario with car collision. Students must connect the observation of one car slowing and another starting to move to energy transfer. Very similar to Q6.",3,"Students interpret observational evidence to identify energy transfer. Engages Constructing Explanations from evidence.",3,"Requires understanding that energy transfers between objects during collisions. Same concept as Q6 but with the additional detail that the source object slows down.",3,"Directly engages Energy and Matter — energy is conserved and transferred. Also Cause and Effect — collision causes energy transfer causing motion change.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Nearly identical construct to Q6 — both test energy transfer during collisions. Replace one with a question testing a different aspect of PS3-1, such as the relationship between mass and energy."
Alpha Standardized Science G4.10,8,"A toaster converts one form of energy to another form. What energy conversion occurs in a toaster?",None,MC,"A) Heat energy to light energy, B) Sound energy to electrical energy, C) Electrical energy to heat energy, D) Motion energy to sound energy",C,4,4-PS3-2,1,"No scenario. Pure recall of energy conversion in a common appliance. No reasoning required.",1,"No practice engaged. Direct recall of energy forms in a device.",2,"Tests understanding of energy conversion in a toaster. Recall-level knowledge.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure recall. Redesign around a scenario: provide students with a toaster that is plugged in vs. unplugged and ask them to trace the complete energy pathway, including what happens to the heat energy after the toast is made."
Alpha Standardized Science G4.10,9,"A student builds a circuit but the lightbulb does not turn on. The circuit diagram shows an incomplete circuit with a gap at position X. Which object placed at X would complete the circuit and cause the lightbulb to turn on?","Diagram of an incomplete circuit with battery, wires, lightbulb, and gap at position X",MC,"A) Rubber eraser, B) Metal nail, C) Wooden stick, D) Plastic straw",B,4,4-PS3-2,3,"Real investigation scenario with a circuit problem. Students must apply understanding of conductors vs. insulators to solve a practical problem.",2,"Students apply knowledge to solve a problem but the reasoning is fairly straightforward — metal conducts electricity. Limited practice depth.",2,"Tests understanding that metals conduct electricity and complete circuits. Well-known classification.",2,"Implicitly engages Cause and Effect (conductor at X causes circuit to complete) but in a basic way.",2.25,Low Guided Integration,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Straightforward conductor identification. Strengthen by providing students with test data for multiple materials and asking them to identify the pattern that determines which materials complete the circuit."
Alpha Standardized Science G4.10,10,"Which of the following could increase the amplitude of waves in a calm pond? Select all that apply.",None,MS,"A) Rain falling into the pond, B) A sunny day with no wind, C) A leaf floating on the surface, D) Wind blowing across the pond, E) Rocks falling into the pond","A, D, E",4,4-PS4-1,2,"Minimal scenario about a calm pond. Students must identify sources of wave energy but the reasoning is fairly direct.",2,"Students classify disturbance sources. Limited practice depth — no data analysis or explanation.",2,"Tests understanding that waves are caused by disturbances that add energy to water. Applied classification.",2,"Implicitly engages Cause and Effect — disturbances cause waves — but in a basic classification format.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Basic classification of wave-causing disturbances. Redesign by providing data about wave heights from different disturbances and asking students to analyze the relationship between disturbance energy and wave amplitude."
