Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.2,1,"Wind power and solar power are most alike in what two ways?","Table 1 comparing energy sources (availability, pollution, renewability).",MC,"A) Both are always available and both add to air pollution, B) Both are limited in availability and both add to air pollution, C) Both are limited in availability and both don't add to air pollution, D) Both are always available and both don't add to air pollution",C,4,4-ESS3-1,3,"Extended passage about solar energy heating with Figures and Table 1. Students must compare two energy sources across multiple dimensions using data in a table.",3,"Students analyze and interpret data from a table to compare energy sources across categories. Engages Analyzing and Interpreting Data.",3,"Requires understanding that renewable energy sources like wind and solar share characteristics including limited availability and lack of air pollution. Application-level.",2,"Implicitly engages Patterns (comparing similarities between two energy sources) but not explicitly required as a reasoning tool.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good data-interpretation question. Strengthen by asking students to explain WHY both wind and solar are limited in availability using evidence from the passage."
Alpha Standardized Science G4.2,2,"Why does the recording on the seismometer look different at times A and C?","Seismometer recording showing different wave patterns at times A and C.",MC,"A) The seismometer was broken at time A, B) The ground was shaking at the same rate at both times, C) The amount the ground moved was different at the two times, D) The seismometer was moved to a different location",C,4,4-ESS2-2,3,"Real scientific instrument scenario. Students must interpret seismometer data and reason about why wave patterns differ at two time points.",3,"Students analyze and interpret data from a seismometer recording to explain differences. Engages Analyzing and Interpreting Data.",3,"Requires understanding that seismometer recordings reflect ground movement intensity and that different amplitudes indicate different amounts of ground motion. Application-level.",3,"Engages Cause and Effect — different amounts of ground movement (cause) produce different recording patterns (effect). Students must reason causally from data.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good data-interpretation question with a real instrument. Could strengthen by asking Part B: What does the difference in recordings tell scientists about the earthquakes?"
Alpha Standardized Science G4.2,3,"Sharon found a graph about energy sources used in 2040. Which development resulted from the predicted changes in the graph?","Graph showing predicted energy source usage in 2040.",MC,"A) Fossil fuels would be used more, B) All energy would come from one source, C) No changes in energy use would occur, D) Renewable energy sources would be used more",D,4,4-ESS3-1,3,"Students must interpret a predictive graph about future energy use and draw a conclusion. Requires reading data and making an inference.",3,"Students analyze and interpret graphical data to draw a conclusion about future energy trends. Engages Analyzing and Interpreting Data.",3,"Requires understanding the distinction between renewable and nonrenewable energy and interpreting projected usage data. Application-level.",2,"Implicitly engages Patterns (trends in energy usage over time) but students are not asked to explicitly reason with CCC.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good data-interpretation question. Elevate by asking students to explain what factors might cause the shift toward renewable energy sources shown in the graph."
Alpha Standardized Science G4.2,4,"On a forest field trip a student looks for evidence of weathering. Which activity describes an example of weathering?",None,MC,"A) A bird building a nest from twigs, B) Leaves falling from trees in autumn, C) Moss growing on the surface of a rock, D) A stone becoming smooth in a flowing riverbed",D,4,4-ESS2-1,2,"Straightforward identification question about weathering. Students select an example from several options but limited reasoning required beyond recognizing the definition.",2,"Students identify an example of a scientific process from a list. Limited practice engagement — recognition rather than analysis.",2,"Tests understanding of the definition of weathering — the physical or chemical breakdown of rock. Recall with basic application.",2,"Implicitly engages Cause and Effect (water flow causes smoothing of stone) but at a trivial level.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Essentially a vocabulary identification question. Redesign with before/after photos of rocks and ask students to explain what process caused the changes and provide evidence."
Alpha Standardized Science G4.2,5,"Students conclude solar energy should be used more for cleaner air. Which statement supports this conclusion?","Table about energy resources and their characteristics.",MC,"A) Solar energy is available only during sunny days, B) Solar panels are expensive to install, C) Using sun energy doesn't release chemicals that add to air pollution, D) Solar energy can be stored in batteries",C,4,4-ESS3-1,3,"Students must identify evidence that supports a given claim about solar energy and air quality. Claim-evidence structure adds reasoning demand.",3,"Students evaluate evidence to support a scientific claim. Engages Engaging in Argument from Evidence — identifying supporting evidence for a conclusion.",3,"Requires understanding why solar energy is cleaner than fossil fuels — no chemical release causing air pollution. Application-level.",2,"Implicitly engages Cause and Effect (no chemical release = no air pollution) but not deeply required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good claim-evidence structure. Strengthen by adding a Part B asking students to explain why the other options do NOT support the conclusion about cleaner air."
Alpha Standardized Science G4.2,6,"A student lists these resources: wind, coal, natural gas, water power, petroleum. Which resources from this list don't add to air pollution?",None,MC,"A) Wind and water power, B) Coal and natural gas, C) Wind and petroleum, D) Natural gas and water power",A,4,4-ESS3-1,2,"Students classify energy resources by pollution characteristics. Requires factual knowledge but limited reasoning.",2,"Students classify resources into categories. Limited practice engagement — recall-based classification.",2,"Tests understanding of which energy resources produce air pollution. Recall/classification level.",1,"No CCC explicitly engaged.",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure classification recall. Redesign by providing data on emissions from each resource and ask students to analyze the data to determine which are cleanest."
Alpha Standardized Science G4.2,7,"How do most fish get oxygen?",None,MC,"A) By breathing air at the water surface, B) By using gills that take in dissolved oxygen from water, C) By absorbing oxygen through their skin, D) By filtering oxygen from food they eat",B,4,4-LS1-1,1,"No scenario. Pure recall of fish respiration. No reasoning required.",1,"No practice engaged. Direct recall of a biological fact.",2,"Tests understanding that fish use gills to obtain dissolved oxygen. Recall only.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure recall. Redesign around a scenario: provide data comparing oxygen levels in water and fish survival rates and ask students to explain the relationship using Structure and Function."
Alpha Standardized Science G4.2,8,"Before and after photos show the effect of water released from a dam. Which process happened more quickly because of the dam water release?","Before/after photographs showing landscape changes from dam water release.",MC,"A) Erosion, B) Weathering, C) Deposition, D) Volcanic activity",A,4,4-ESS2-1,3,"Real phenomenon with before/after visual evidence. Students must connect rapid water flow to accelerated erosion. Genuine scientific reasoning required.",3,"Students analyze before/after photographic evidence to identify a process. Engages Analyzing and Interpreting Data from visual evidence.",3,"Requires understanding that large volumes of fast-moving water accelerate erosion and distinguishing erosion from weathering and deposition. Application-level.",3,"Engages Cause and Effect — dam water release (cause) accelerates erosion (effect). Students must reason about rate of change.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good real-world phenomenon with visual evidence. Strengthen by asking Part B: What specific evidence in the photos shows erosion rather than deposition?"
Alpha Standardized Science G4.2,9,"Which diagram shows the correct order water moves through tree parts?","Multiple diagrams showing water movement pathways through roots, stems, and leaves.",MC,"A) Leaves to stem to roots, B) Stem to roots to leaves, C) Roots to leaves to stem, D) Roots to stem to leaves",D,4,4-LS1-1,2,"Image-based sequencing of water transport in trees. Students must know the pathway but reasoning is recall-based.",2,"Students identify the correct sequence from diagrams. Limited practice engagement — recognition of a known pathway.",2,"Tests understanding of water transport in plants — roots absorb water which moves up through stems to leaves. Recall with visual application.",2,"Implicitly engages Systems and System Models (plant as a system) but not explicitly required.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Recall of water transport pathway. Redesign to ask students to explain WHY water moves upward against gravity, engaging Cause and Effect and Structure and Function."
Alpha Standardized Science G4.2,10,"What is the main reason a tree needs structures to move water?",None,MC,"A) To keep the soil around the tree moist, B) To release water vapor into the air, C) To make food so the tree can grow, D) To wash away waste products from the tree",C,4,4-LS1-1,2,"Part B follow-up to Q9. Students must connect water transport to photosynthesis and growth. Some reasoning required but answer is fairly direct.",2,"Students select a reason linking water transport to tree survival. Limited practice — selecting a fact rather than constructing an explanation.",3,"Requires understanding that water is essential for photosynthesis which enables tree growth. Connects structure to function at application level.",2,"Implicitly engages Structure and Function (structures exist to move water for food production) but not deeply explored.",2.25,Low Guided Integration,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Needs Improvement,"Better than Q9 because it requires functional reasoning. Strengthen by asking students to explain what would happen to the tree if water transport structures were damaged."
Alpha Standardized Science G4.2,11,"In a buffalo grass investigation stolons were cut. Which is the best evidence that stolons help the grass reproduce?",None,MC,"A) The number of new plants decreased after stolons were cut, B) The color of the grass changed after cutting, C) The separated plants continued to grow on their own, D) The grass produced more seeds after cutting",C,4,4-LS1-1,3,"Investigation scenario about plant reproduction via stolons. Students must evaluate which evidence best supports the claim. Requires evidence-based reasoning.",3,"Students evaluate evidence to support a claim about plant reproduction. Engages Engaging in Argument from Evidence.",3,"Requires understanding of vegetative reproduction through stolons and how to identify evidence supporting reproductive function. Application-level.",3,"Engages Cause and Effect — cutting stolons (cause) produces observable outcomes (effect) that serve as evidence. Students evaluate causal claims.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good investigation-based evidence evaluation. Could strengthen by asking students to design an additional test to confirm the role of stolons in reproduction."
Alpha Standardized Science G4.2,12,"Two waves are shown in the picture. Which statement about the waves is true?","Diagram showing two waves with different amplitudes and wavelengths.",MC,"A) Same amplitude and same wavelength, B) Same amplitude but different wavelengths, C) Different amplitudes but same wavelength, D) Different amplitudes and different wavelengths",D,4,4-PS4-1,2,"Image-based wave comparison. Students must identify differences in amplitude and wavelength from a diagram.",2,"Students analyze visual data from a wave diagram to compare properties. Engages Analyzing and Interpreting Data at a basic level.",3,"Requires understanding wave properties (amplitude and wavelength) and the ability to distinguish them visually. Application-level.",2,"Implicitly engages Patterns (wave patterns) but not explicitly required as a reasoning tool.",2.25,Low Guided Integration,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Basic wave comparison. Strengthen by providing wave data in a table and asking students to predict how changing one property affects sound or light characteristics."
Alpha Standardized Science G4.2,13,"A fast-flowing river deposited heavy sediment. Later the area became a desert. How did the sediment change over time?",None,MC,"A) First sand and pebbles were deposited then later only sand, B) First only sand then later sand and pebbles, C) The sediment stayed the same throughout, D) First large boulders then later pebbles",A,4,4-ESS2-1,3,"Students must reason about how changing environmental conditions (river to desert) affect sediment deposition. Requires causal reasoning across time.",3,"Students construct an explanation for how sediment characteristics change with environmental change. Engages Constructing Explanations.",3,"Requires understanding that fast-flowing water carries heavier sediment and that when water flow decreases or stops only lighter particles remain. Application-level.",3,"Engages Cause and Effect — changing water flow (cause) affects sediment size deposited (effect). Also engages Stability and Change (environmental transition).",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good reasoning question about sediment change over time. Strengthen by providing a diagram of the rock layers formed and asking students to reconstruct the environmental history."
Alpha Standardized Science G4.2,14,"Which BEST describes weathering and erosion?",None,MC,"A) Breakdown of rock into smaller particles and carrying away of sediments, B) Building up of mountains and filling in of valleys, C) Melting of glaciers and forming of lakes, D) Growth of plants and decay of organic matter",A,4,4-ESS2-1,1,"No scenario. Pure recall of definitions of weathering and erosion. No reasoning required.",1,"No practice engaged. Direct recall of definitions.",2,"Tests understanding of the definitions of weathering and erosion. Recall only.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure vocabulary recall. Redesign with a real-world example showing both processes and ask students to distinguish and explain each using evidence."
Alpha Standardized Science G4.2,15,"Which correctly describes how a landform is formed?",None,MC,"A) A mountain formed when wind blew sand into a tall pile, B) A valley formed when rocks rolled downhill and piled up, C) A delta formed at the mouth of a river when water slows and deposits sediment, D) A canyon formed when rain dissolved all the rock in an area",C,4,4-ESS2-1,2,"Students must identify a correct description of landform formation. Requires knowledge of geological processes but limited reasoning.",2,"Students evaluate multiple claims about landform formation. Some practice of evaluating explanations but options are fairly obvious.",3,"Requires understanding specific landform formation processes — deltas form from sediment deposition at river mouths. Applied knowledge.",2,"Engages Cause and Effect (water slowing causes sediment deposition forming delta) but at identification level.",2.25,Low Guided Integration,Does Not Meet,Partially Meets,Does Not Meet,Meets,Needs Improvement,"Good conceptual question but static. Strengthen with a diagram showing a river entering the ocean and ask students to predict where sediment will accumulate and explain why."
Alpha Standardized Science G4.2,16,"A laser is used to cut metal. Which table correctly shows the types of energy involved?","Multiple tables showing different energy type combinations for laser cutting.",MC,"A) Only light energy, B) Light and sound energy, C) Heat and motion energy, D) Light and heat energy",D,4,4-PS3-2,2,"Image-based question about energy types in laser cutting. Students must identify correct energy forms from tables.",2,"Students classify energy forms involved in a process. Limited practice — identification rather than analysis.",2,"Tests understanding that lasers involve light energy and that cutting metal produces heat energy. Recall with basic application.",1,"No CCC explicitly engaged.",1.75,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Energy classification recall. Redesign to present data about energy input and output in laser cutting and ask students to trace the energy transformations."
Alpha Standardized Science G4.2,17,"A portable camping lamp produces light. Which kind of energy is used to produce the light?",None,MC,"A) Chemical energy from fuel, B) Solar energy stored in the lamp, C) Electrical energy powered by a battery, D) Heat energy from the surroundings",C,4,4-PS3-2,1,"Minimal scenario. Students identify the energy source for a battery-powered lamp. Limited reasoning required.",1,"No practice engaged. Direct recall/identification of energy source.",2,"Tests understanding that batteries provide electrical energy. Recall with basic application.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Pure recall. Redesign to ask students to trace the full energy conversion chain: chemical energy in battery to electrical energy to light energy and explain each conversion."
Alpha Standardized Science G4.2,18,"Life cycles of an oak tree and a lady beetle are shown. Which inference can be made?","Diagrams showing life cycles of an oak tree and a lady beetle.",MC,"A) Plants and insects have identical life cycles, B) Insects and plants follow a series of changes that allow survival and reproduction, C) Only insects go through life cycle changes, D) Plants do not reproduce through life cycles",B,4,4-LS1-1,3,"Students must compare two life cycles and make an inference about common features. Requires cross-comparison reasoning.",3,"Students analyze and compare two life cycle models to draw an inference. Engages Analyzing and Interpreting Data from models.",3,"Requires understanding that both plants and animals undergo life cycle changes that support survival and reproduction. Application-level.",2,"Implicitly engages Patterns (both organisms follow cyclical life patterns) but not explicitly required.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good comparative question. Strengthen by asking students to identify specific similarities and differences between the two life cycles and explain what each stage accomplishes."
