Assessment,Q#,Stem,Image/Diagram Description,Type,Choices,Correct Answer,Grade,NGSS Standard,Scenario (1-5),Scenario Justification,SEP (1-5),SEP Justification,DCI (1-5),DCI Justification,CCC (1-5),CCC Justification,Indicator Avg,Holistic Classification,Crit 2: Three-Dimensional,Crit 3: Phenomena,Crit 5: Complexity,Crit 6: Technical Quality,Overall Rating,Key Recommendation
Alpha Standardized Science G4.17,1,"Three cardboard screens with holes are placed in a straight line with a light source behind the third screen. The middle screen is shifted out of alignment. What happens to the light visible through the first screen?",Diagram showing three screens with holes in a line and a light source behind the third screen,MC,"A) The light bends around the middle screen, B) The light dims but is still visible, C) The light is no longer visible because light travels in straight lines, D) The light reflects off the middle screen and becomes brighter",C,4,4-PS4-2,4,"Strong experimental scenario with manipulable setup. Students must predict the result of shifting a screen based on the principle that light travels in straight lines. Anchored in an observable and testable phenomenon.",3,"Students construct an explanation predicting the outcome of a physical change. Engages Constructing Explanations by linking the property of light traveling in straight lines to the predicted observation.",3,"Requires understanding that light travels in straight lines and cannot bend around opaque obstacles. Applied understanding of light behavior beyond simple recall.",3,"Engages Cause and Effect — shifting the screen (cause) blocks the straight-line path of light (effect). Students must reason causally about why the light is no longer visible.",3.25,High Guided Integration,Partially Meets,Meets,Partially Meets,Meets,Needs Improvement,"Strong phenomenon-based question. Elevate by asking a Part B: What would happen if the middle screen had a larger hole? This would deepen Cause and Effect reasoning."
Alpha Standardized Science G4.17,2,"A new organism is discovered with the following characteristics: maintains constant body temperature; has a waterproof covering with hair; gives birth to live young; produces nutritious fluid for its young; has specialized limbs. Which group does this organism most likely belong to?",None,MC,"A) Reptiles, B) Amphibians, C) Birds, D) Mammals",D,4,4-LS1-1,3,"Presents an unfamiliar organism with multiple traits that must be matched to a classification group. Students must analyze several characteristics rather than just one. Some reasoning required.",3,"Students analyze multiple pieces of evidence (traits) to classify an unknown organism. Engages Analyzing and Interpreting Data by evaluating which combination of traits matches a known group.",3,"Requires understanding the defining characteristics of mammals — live birth, hair, milk production, constant body temperature. Applied understanding of organism classification beyond simple recall.",2,"Implicitly engages Patterns (recognizing a pattern of traits that defines a group) but students do not explicitly reason with the CCC as a tool.",2.75,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good multi-trait classification. Strengthen by presenting two organisms with overlapping traits and asking students to explain which traits are most diagnostic using Patterns reasoning."
Alpha Standardized Science G4.17,3,"A patient has a blocked artery leading to the left leg. Which sequence BEST explains the consequences of this blockage?",None,MC,"A) Reduced blood flow leads to less oxygen delivery leads to anaerobic respiration leads to lactic acid buildup leads to pain and fatigue, B) Increased blood flow leads to swelling leads to numbness, C) Blood flows backward causing bruising, D) The leg receives too much oxygen causing burning",A,4,4-LS1-1,4,"Strong medical scenario requiring multi-step causal reasoning about how a blockage cascades through body systems. Students must trace a chain of physiological consequences. Genuine complexity.",4,"Students construct a multi-step explanation tracing cause through multiple physiological effects. Engages Constructing Explanations at a high level with sequential causal reasoning through a system.",4,"Requires understanding circulatory function, oxygen delivery, cellular respiration, and waste products. Goes well beyond Grade 4 expectations into middle school life science content (anaerobic respiration, lactic acid). Advanced DCI demand.",4,"Strongly engages Cause and Effect — multi-step causal chain where each effect becomes the cause of the next. Also engages Systems and System Models as students reason about interconnected body systems.",4.0,Doing Science,Meets,Meets,Meets,Does Not Meet,Needs Improvement,"Strong causal reasoning but content (anaerobic respiration and lactic acid) is well beyond Grade 4 NGSS expectations. This is middle school (MS-LS1) content. Simplify to grade-appropriate physiology while maintaining the causal chain structure."
Alpha Standardized Science G4.17,4,"Scientists studied how different animals digest food — bears digest salmon, horses break down grass, and snakes swallow whole prey. Which is the most accurate statement about these animals?",None,MC,"A) All three animals digest food in exactly the same way, B) Only bears can absorb nutrients because they eat meat, C) All have specialized adaptations but share the fundamental process of nutrient absorption, D) Snakes do not need to digest food because they swallow prey whole",C,4,4-LS1-1,3,"Comparative scenario across three animals with different diets and digestive strategies. Students must identify a unifying principle across varied examples.",3,"Students analyze evidence from multiple organisms to identify a shared biological principle. Engages Constructing Explanations by synthesizing observations across examples.",3,"Requires understanding that while digestive adaptations vary, nutrient absorption is a shared fundamental process. Applied understanding of internal structures and their functions.",3,"Engages Patterns — students must recognize the pattern that despite surface-level differences, all animals share the same fundamental process. Also engages Structure and Function.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good comparative question. Strengthen by providing specific data about digestion times or nutrient extraction efficiency for each animal and asking students to explain the pattern."
Alpha Standardized Science G4.17,5,"Scientists are studying organisms in a region experiencing climate change. Which statement BEST explains how a trait functions as an adaptation that helps an organism survive?",None,MC,"A) A tree with deep roots can access groundwater during extended drought periods, B) A fish swims fast in a river, C) A bird has feathers for flying, D) A dog pants when it is hot",A,4,4-LS1-1,3,"Presents a climate change context requiring students to distinguish between a true adaptation explanation (trait linked to survival advantage in a specific challenge) and simple trait descriptions.",3,"Students evaluate multiple claims to determine which best explains adaptation. Engages Engaging in Argument from Evidence by selecting the most complete explanation.",3,"Requires understanding that adaptations are traits specifically linked to survival in particular environmental conditions. Goes beyond naming traits to explaining function in context.",3,"Engages Cause and Effect — the deep roots (cause) enable survival during drought (effect). Also engages Structure and Function — root structure serves the function of accessing deep water.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Good question requiring students to distinguish between a complete adaptation explanation and simple trait descriptions. Could elevate by providing data on root depths and drought survival rates."
Alpha Standardized Science G4.17,6,"A rabbit detects the scent of a predator and freezes in place. Which sequence best describes how the rabbit's body systems work together to produce this response?",None,MC,"A) Muscles detect the scent and tell the brain to freeze, B) Nervous system receives scent signal and transmits it to the brain which sends signals to the muscles causing the rabbit to freeze, C) The rabbit's eyes see the predator and the bones lock in place, D) The skin detects danger and the lungs stop working",B,4,4-LS1-2,4,"Strong multi-system scenario where students must trace sensory information through the nervous system to a motor response. Real-world survival context with sequential reasoning required.",4,"Students construct a sequential explanation tracing information from sensory input through processing to motor output. Engages Constructing Explanations at a high level with system-level reasoning.",3,"Requires understanding how sensory organs detect stimuli, nerves transmit signals to the brain, and the brain sends signals to muscles for a response. Applied understanding of information processing.",4,"Strongly engages Systems and System Models — students reason about how multiple body systems (nervous, muscular, sensory) interact as an integrated system. Also engages Cause and Effect in the causal chain.",3.75,Doing Science,Meets,Meets,Partially Meets,Meets,Good,"Excellent systems-level question. One of the strongest items on this test. Could add a Part B asking what would happen if the nerve pathway to the muscles were damaged."
Alpha Standardized Science G4.17,7,"A rock sample has two distinct layers. The bottom layer contains fossilized seashells. The top layer contains fossilized tree roots and leaves. What does this rock tell us about the history of this area?",None,MC,"A) The area was once covered by ocean and later became dry land, B) Trees grew underwater alongside the seashells, C) The seashells were carried to the area by wind, D) The rock layers formed at the same time",A,4,4-ESS1-1,3,"Real geological scenario with fossil evidence in two layers. Students must interpret the sequence of environments from fossil evidence and apply superposition. Genuine reasoning required.",3,"Students analyze fossil evidence to construct an explanation of environmental change over time. Engages Constructing Explanations from evidence.",3,"Requires understanding that fossils indicate past environments and that the bottom layer is older. Applied understanding of Earth's history through rock layer evidence.",3,"Engages Stability and Change — the area transitioned from ocean to land over time. Students reason about environmental change as recorded in rock layers.",3.0,Low Guided Integration,Partially Meets,Partially Meets,Partially Meets,Meets,Needs Improvement,"Solid question connecting fossil evidence to environmental history. Strengthen by adding a third layer and asking students to reconstruct the full sequence of environmental changes."
Alpha Standardized Science G4.17,8,"When pieces of rock are broken down and carried away by a river, what process is occurring?",None,MC,"A) Weathering, B) Deposition, C) Erosion, D) Volcanic activity",C,4,4-ESS2-1,1,"No real scenario. Direct recall of the definition of erosion. The stem essentially defines erosion and asks students to name it.",1,"No science practice engaged. Pure vocabulary recall — matching a description to a term.",2,"Tests knowledge of the definition of erosion. Recall-level understanding with no application.",1,"No CCC engaged.",1.25,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Partially Meets,Weak,"Pure vocabulary recall. Redesign to present a scenario with multiple Earth surface processes occurring simultaneously and ask students to identify and explain each process."
Alpha Standardized Science G4.17,9,"Which statement BEST describes how erosion changes the landscape over time?",None,MC,"A) Flowing water gradually wears away rock creating canyons and valleys over millions of years, B) Erosion only happens during major storms, C) Erosion builds up mountains over time, D) Erosion only affects soft materials like sand",A,4,4-ESS2-1,2,"Asks for a general description of erosion over time. Some conceptual understanding required but the correct answer is essentially a textbook definition.",2,"Students select the best description of a process. Limited practice engagement — identifying the most accurate general statement.",2,"Tests understanding that erosion is a gradual process that shapes landforms over long periods. Recall-level understanding with minimal application.",2,"Implicitly engages Stability and Change (gradual change over time) but students do not explicitly reason with the CCC.",2.0,Scripted,Does Not Meet,Does Not Meet,Does Not Meet,Meets,Weak,"Essentially a recall question about erosion. Redesign to provide before-and-after images or data about a specific landscape and ask students to explain the changes using evidence."
Alpha Standardized Science G4.17,10,"A hiking club is studying a topographic map where contour lines are at 50-meter intervals. On the north side contour lines are 1 cm apart; east side 0.5 cm apart; south side 2 cm apart; west side 1.5 cm apart. To minimize steepness climbing to the summit, from which direction should they approach?","Topographic map showing different contour line spacings on four sides",MC,"A) North, B) South, C) East, D) West",B,4,4-ESS2-2,4,"Strong applied scenario requiring quantitative reasoning about topographic maps. Students must connect contour line spacing to slope steepness and apply this understanding to make a practical decision. Real-world problem-solving context.",4,"Students analyze quantitative data from a topographic map to make a decision. Engages Analyzing and Interpreting Data and Using Mathematics and Computational Thinking to compare relative steepness.",3,"Requires understanding that wider contour spacing indicates gentler slopes. Applied understanding of topographic map interpretation with quantitative comparison.",3,"Engages Patterns — students identify the pattern that wider spacing = gentler slope. Also engages Cause and Effect (spacing determines steepness experienced).",3.5,Doing Science,Meets,Meets,Partially Meets,Meets,Good,"Excellent applied topographic reasoning question. One of the strongest items. Could elevate further by asking students to calculate approximate slope angles or explain why wider spacing means a gentler slope."
